nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846211,arts-humanities,National Taiwan University (NTU),105,71.7,79,73.7,82.9,22.4,22.4,82,81,29,401+,401+
3846211,arts-humanities,National Taiwan Normal University,228,63.9,73.6,57.2,77.1,22.4,22.4,145,340,155,401+,401+
3846211,arts-humanities,National Cheng Kung University (NCKU),315,61.2,69.1,64.6,68.9,22.4,22.4,232,203,333,401+,401+
3846211,arts-humanities,National Chengchi University,341,60,69.6,58.9,64,22.4,22.4,223,302,384,401+,401+
3846211,arts-humanities,National Tsing Hua University,420,-,67.9,65.3,54.4,-,-,260,190,401+,-,-
3846212,engineering-technology,National Taiwan University (NTU),76,77.3,81.7,73.8,83.4,80.2,80.2,51,79,283,145,145
3846212,engineering-technology,National Tsing Hua University,138,73,77.2,70.3,84.1,73.1,73.1,89,125,254,299,299
3846212,engineering-technology,National Taipei University of Technology,170,71.7,81.1,66.8,80.1,69,69,60,179,366,382,382
3846212,engineering-technology,National Cheng Kung University (NCKU),181,71.1,74.4,66.1,81.7,74.1,74.1,125,194,328,279,279
3846212,engineering-technology,National Yang Ming Chiao Tung University,231,68.7,71.6,64.1,78.6,74.1,74.1,174,237,401+,279,279
3846212,engineering-technology,National Taiwan University of Science and Technology (Taiwan Tech),247,67.9,74.1,60.9,81.6,71.4,71.4,129,293,331,341,341
3846212,engineering-technology,National Central University,423,-,65.7,57.5,77.5,63.9,63.9,288,367,401+,401+,401+
3846212,engineering-technology,National Chung Hsing University,424,-,65.4,56,78.9,64.7,64.7,298,401+,392,401+,401+
3846212,engineering-technology,National Sun Yat-sen University,469,-,62.4,57.4,79.5,67,67,358,372,384,401+,401+
3846213,life-sciences-medicine,National Taiwan University (NTU),86,74.7,79.7,76.1,82.1,67.4,67.4,54,49,179,145,145
3846213,life-sciences-medicine,Taipei Medical University (TMU),209,66.6,76.6,72.4,72.5,50.6,50.6,77,84,365,384,384
3846213,life-sciences-medicine,National Yang Ming Chiao Tung University,264,64.2,67.4,65.4,78,54.3,54.3,202,162,262,331,331
3846213,life-sciences-medicine,National Cheng Kung University (NCKU),313,61.8,70.2,67.6,67,49,49,157,127,401+,401+,401+
3846213,life-sciences-medicine,China Medical University ,323,61.2,65.6,53.5,77.3,49.8,49.8,234,361,279,398,398
