year,university_nid,country,university,rank,overall_score,International Students Ratio_score,International Faculty Ratio_score,Faculty Student Ratio_score,Citations per Faculty_score,Academic Reputation_score,Employer Reputation_score
2021,294804,Taiwan,National Taiwan University (NTU),66,67.5,38.7,19.1,38.7,54.8,91.8,87.5
2021,294800,Taiwan,National Tsing Hua University,168,46.4,18,19.4,34.8,58.3,49.5,58.1
2021,294814,Taiwan,National Cheng Kung University (NCKU),235,38.9,23,17,35.8,35,41,60.9
2021,294810,Taiwan,National Chiao Tung University,240,38.2,21.4,30,40.7,44.5,29.7,64.9
2021,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),267,36,40.8,23.2,58.5,40.7,24.8,28
2021,294795,Taiwan,National Yang Ming University,299,34.4,6.5,5.6,99.9,30.9,14.8,15.2
2021,294806,Taiwan,National Taiwan Normal University,331,31.8,31.6,12.8,68.5,10.8,31,11
2021,295098,Taiwan,Taipei Medical University (TMU),389,28.6,17.1,20,84.8,22.4,9.9,12
2021,294807,Taiwan,National Sun Yat-sen University,417,27.2,10.2,15.6,33.8,36.1,25,18.2
2021,294816,Taiwan,National Central University,466,25.2,22.1,15.4,32.8,31.4,21.3,18.2
2021,294963,Taiwan,National Taipei University of Technology,489,24.5,21.1,24.9,34.6,33.5,12.7,33.1
2021,294682,Taiwan,Chang Gung University,493,24.2,7,3.1,59.6,46.6,4.7,4.2
2021,294811,Taiwan,National Chengchi University,585,n/a,53.8,,28.9,,18.6,30.1
2021,294808,Taiwan,National Chung Hsing University,626,n/a,,,27.1,22.9,,
2021,295787,Taiwan,Kaohsiung Medical University,715,n/a,,,42.5,23.8,,
2021,294692,Taiwan,National Chung Cheng University,864,n/a,,,,,,
2021,294966,Taiwan,Chung Yuan Christian University,1021,n/a,,,,,,
2021,294650,Taiwan,Feng Chia University,1033,n/a,,,,,,
2021,294370,Taiwan,Fu Jen Catholic University,1034,n/a,17.5,,,,,
2021,294961,Taiwan,National Dong Hwa University,1058,n/a,16.4,,,,,
2021,294960,Taiwan,National Taiwan Ocean University,1059,n/a,,,,,,
2021,294958,Taiwan,Tamkang University,1078,n/a,,,,,,
2021,294959,Taiwan,Tunghai University,1086,n/a,,,,,,
