year,university_nid,country,university,rank,overall_score,International Students Ratio_score,International Faculty Ratio_score,Faculty Student Ratio_score,Citations per Faculty_score,Academic Reputation_score,Employer Reputation_score
2020,294804,Taiwan,National Taiwan University (NTU),69,67.3,30.4,20.8,41.9,59.7,89.8,82.4
2020,294800,Taiwan,National Tsing Hua University,173,46.8,18,24.6,32.2,65.8,47.5,59.6
2020,294814,Taiwan,National Cheng Kung University (NCKU),225,40.4,26.4,17.7,42.5,39.7,40.8,53.4
2020,294810,Taiwan,National Chiao Tung University,227,40,31.5,29.1,45.8,54.6,28.9,52.1
2020,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),251,37.6,36.7,24.3,64.2,43.6,24.4,30.6
2020,294795,Taiwan,National Yang Ming University,288,34.9,7.8,5.8,99.9,33.2,14.4,16.9
2020,294806,Taiwan,National Taiwan Normal University,333,32.3,49,15.1,70.8,11,28.8,11.4
2020,295098,Taiwan,Taipei Medical University (TMU),380,28.9,18.8,22.1,87,21.6,9.6,12.3
2020,294807,Taiwan,National Sun Yat-sen University,411,27.9,8.6,15.6,36.5,37.6,24.7,19.4
2020,294816,Taiwan,National Central University,427,27.1,20.3,20.7,32.8,36.3,23,19.5
2020,294682,Taiwan,Chang Gung University,485,24.5,8.1,3.7,59.3,50.2,3.8,4.5
2020,294963,Taiwan,National Taipei University of Technology,513,n/a,18.9,27,38,32,,19.1
2020,294811,Taiwan,National Chengchi University,556,n/a,56.7,,29.3,,20.2,31.2
2020,295787,Taiwan,Kaohsiung Medical University,668,n/a,,,45.2,23.1,,
2020,294808,Taiwan,National Chung Hsing University,674,n/a,,,24,25.8,,
2020,294692,Taiwan,National Chung Cheng University,866,n/a,,,,,,
2020,294650,Taiwan,Feng Chia University,1017,n/a,,,,,,
2020,294370,Taiwan,Fu Jen Catholic University,1018,n/a,17,,,,,
2020,294378,Taiwan,National Taipei University,1034,n/a,,,,,,
