year,subject_nid,subject,university_nid,country,university,rank,overall_score,H-index Citations_score,Citations per Paper_score,Academic Reputation_score,Employer Reputation_score
2021,3518694,arts-humanities,294804,Taiwan,National Taiwan University (NTU),85,75.4,22.8,81.4,83,75.8
2021,3518694,arts-humanities,294806,Taiwan,National Taiwan Normal University,204,67.7,22.8,81.4,74.9,61.9
2021,3518694,arts-humanities,294800,Taiwan,National Tsing Hua University,267,65,22.8,61,71,70.1
2021,3518694,arts-humanities,294811,Taiwan,National Chengchi University,279,64.5,22.8,69.9,70.7,63.8
2021,3518694,arts-humanities,294814,Taiwan,National Cheng Kung University (NCKU),296,63.7,22.8,73.5,67.4,67.9
2021,3518694,arts-humanities,294810,Taiwan,National Chiao Tung University,351,61.7,36.1,67.5,63.1,67.2
2021,3518694,arts-humanities,294807,Taiwan,National Sun Yat-sen University,369,61,22.8,75.9,65.2,59.8
2021,3518694,arts-humanities,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),472,n/a,n/a,n/a,n/a,64
2021,3518640,engineering-technology,294804,Taiwan,National Taiwan University (NTU),41,80.6,79.6,84.2,82.1,77.3
2021,3518640,engineering-technology,294800,Taiwan,National Tsing Hua University,89,76.6,74.2,85.1,76.9,73.1
2021,3518640,engineering-technology,294810,Taiwan,National Chiao Tung University,139,72.7,73.5,78.8,71.9,70.3
2021,3518640,engineering-technology,294963,Taiwan,National Taipei University of Technology,144,72.1,66.6,80.2,73.2,69.4
2021,3518640,engineering-technology,294814,Taiwan,National Cheng Kung University (NCKU),159,71.3,69.4,79.8,71.3,68
2021,3518640,engineering-technology,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),167,70.9,70.3,83.3,72,63.5
2021,3518640,engineering-technology,294816,Taiwan,National Central University,322,64.3,63.6,78.3,63.6,58.7
2021,3518640,engineering-technology,294807,Taiwan,National Sun Yat-sen University,335,63.8,63.6,79.4,60.9,59.8
