year,subject_nid,subject,university_nid,country,university,rank,overall_score,International Research Network_score,H-index Citations_score,Citations per Paper_score,Academic Reputation_score,Employer Reputation_score
2022,3794804,arts-humanities,294804,Taiwan,National Taiwan University (NTU),75,75.9,26.3,22.1,83,84.4,80.1
2022,3794804,arts-humanities,294806,Taiwan,National Taiwan Normal University,182,68.9,29.7,22.1,77.2,78.5,64.1
2022,3794804,arts-humanities,294811,Taiwan,National Chengchi University,238,66.3,12.7,35,64.8,74.8,66.5
2022,3794804,arts-humanities,294800,Taiwan,National Tsing Hua University,242,66.2,31.7,22.1,59.2,73.9,71.1
2022,3794804,arts-humanities,294814,Taiwan,National Cheng Kung University (NCKU),290,64.8,n/a,22.1,68.5,73,71
2022,3794804,arts-humanities,294807,Taiwan,National Sun Yat-sen University,418,n/a,n/a,22.1,61.1,67.7,61.7
2022,3794804,arts-humanities,3740459,Taiwan,National Yang Ming Chiao Tung University,419,n/a,n/a,22.1,66.1,66.9,67.9
2022,3794805,engineering-technology,294804,Taiwan,National Taiwan University (NTU),52,81.5,65.6,79.4,83.8,84.3,83.1
2022,3794805,engineering-technology,294800,Taiwan,National Tsing Hua University,102,76.2,58,71.8,82.6,79.8,76.8
2022,3794805,engineering-technology,294963,Taiwan,National Taipei University of Technology,108,75.8,43.6,68.3,80,83.8,77
2022,3794805,engineering-technology,3740459,Taiwan,National Yang Ming Chiao Tung University,151,73.7,59.2,73,78.1,75.2,75.2
2022,3794805,engineering-technology,294814,Taiwan,National Cheng Kung University (NCKU),172,73,58.3,69.8,80,74.6,74.4
2022,3794805,engineering-technology,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),200,71.6,56,69.1,81.9,76.1,68.3
2022,3794805,engineering-technology,294816,Taiwan,National Central University,333,66.2,56.7,62.5,78,67.7,64.6
2022,3794805,engineering-technology,294807,Taiwan,National Sun Yat-sen University,415,n/a,43.8,62.5,79.1,65.3,64.5
2022,3794805,engineering-technology,294808,Taiwan,National Chung Hsing University,511,n/a,40.2,62.5,78.6,63.5,60.4
2022,3794806,life-sciences-medicine,294804,Taiwan,National Taiwan University (NTU),72,76.7,52.6,69.1,82.7,82.1,82.4
2022,3794806,life-sciences-medicine,3740459,Taiwan,National Yang Ming Chiao Tung University,214,67.2,42.6,58.8,79.7,70.4,70.6
