year,subject_nid,subject,university_nid,country,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score
2023,3846211,arts-humanities,294804,Taiwan,National Taiwan University (NTU),105,71.7,79,73.7,82.9,22.4,33.8
2023,3846211,arts-humanities,294806,Taiwan,National Taiwan Normal University,228,63.9,73.6,57.2,77.1,22.4,16.1
2023,3846211,arts-humanities,294814,Taiwan,National Cheng Kung University (NCKU),315,61.2,69.1,64.6,68.9,22.4,n/a
2023,3846211,arts-humanities,294811,Taiwan,National Chengchi University,341,60,69.6,58.9,64,22.4,n/a
2023,3846211,arts-humanities,294800,Taiwan,National Tsing Hua University,420,n/a,67.9,65.3,54.4,n/a,n/a
2023,3846212,engineering-technology,294804,Taiwan,National Taiwan University (NTU),76,77.3,81.7,73.8,83.4,80.2,61.3
2023,3846212,engineering-technology,294800,Taiwan,National Tsing Hua University,138,73,77.2,70.3,84.1,73.1,53.2
2023,3846212,engineering-technology,294963,Taiwan,National Taipei University of Technology,170,71.7,81.1,66.8,80.1,69,42.9
2023,3846212,engineering-technology,294814,Taiwan,National Cheng Kung University (NCKU),181,71.1,74.4,66.1,81.7,74.1,59.7
2023,3846212,engineering-technology,3740459,Taiwan,National Yang Ming Chiao Tung University,231,68.7,71.6,64.1,78.6,74.1,55.6
2023,3846212,engineering-technology,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),247,67.9,74.1,60.9,81.6,71.4,46.9
2023,3846212,engineering-technology,294816,Taiwan,National Central University,423,n/a,65.7,57.5,77.5,63.9,49.1
2023,3846212,engineering-technology,294808,Taiwan,National Chung Hsing University,424,n/a,65.4,56,78.9,64.7,47.2
2023,3846212,engineering-technology,294807,Taiwan,National Sun Yat-sen University,469,n/a,62.4,57.4,79.5,67,40.8
2023,3846213,life-sciences-medicine,294804,Taiwan,National Taiwan University (NTU),86,74.7,79.7,76.1,82.1,67.4,53.3
2023,3846213,life-sciences-medicine,295098,Taiwan,Taipei Medical University (TMU),209,66.6,76.6,72.4,72.5,50.6,41
2023,3846213,life-sciences-medicine,3740459,Taiwan,National Yang Ming Chiao Tung University,264,64.2,67.4,65.4,78,54.3,42.7
2023,3846213,life-sciences-medicine,294814,Taiwan,National Cheng Kung University (NCKU),313,61.8,70.2,67.6,67,49,37.4
2023,3846213,life-sciences-medicine,293781,Taiwan,China Medical University ,323,61.2,65.6,53.5,77.3,49.8,41.5
2023,3846213,life-sciences-medicine,294682,Taiwan,Chang Gung University,375,59,59.4,50,76.3,52.2,45.2
2023,3846213,life-sciences-medicine,295787,Taiwan,Kaohsiung Medical University,383,58.5,64.1,56,66.9,48.6,41.4
2023,3846219,natural-sciences,294804,Taiwan,National Taiwan University (NTU),81,77,80.3,72.6,84.9,79.3,57.5
2023,3846219,natural-sciences,294800,Taiwan,National Tsing Hua University,146,72.7,72.9,69.8,85,77.4,52.2
2023,3846219,natural-sciences,294814,Taiwan,National Cheng Kung University (NCKU),262,67.1,66.6,66.1,81,62.8,56.2
2023,3846219,natural-sciences,294816,Taiwan,National Central University,313,65.1,64,56.7,76.7,75.3,53.8
2023,3846219,natural-sciences,3740459,Taiwan,National Yang Ming Chiao Tung University,377,63,63.7,63.2,75.9,59.5,46.1
2023,3846219,natural-sciences,294807,Taiwan,National Sun Yat-sen University,476,n/a,63.3,57.4,68.7,55.6,38.8
2023,3846220,social-sciences-management,294804,Taiwan,National Taiwan University (NTU),75,74.3,77.5,71.8,81.3,66.7,58.3
2023,3846220,social-sciences-management,294814,Taiwan,National Cheng Kung University (NCKU),236,66,67.3,63.2,82.6,62.9,50.1
2023,3846220,social-sciences-management,294811,Taiwan,National Chengchi University,291,64.1,72.1,57.5,73,59.5,16.7
2023,3846220,social-sciences-management,294800,Taiwan,National Tsing Hua University,308,63.5,64.9,65.7,70.8,58.2,32.5
2023,3846220,social-sciences-management,294806,Taiwan,National Taiwan Normal University,349,62.5,66.9,55.3,81.2,63.9,32.3
2023,3846220,social-sciences-management,294807,Taiwan,National Sun Yat-sen University,366,62.1,65.3,56.6,76.1,62.9,40.6
2023,3846220,social-sciences-management,3740459,Taiwan,National Yang Ming Chiao Tung University,419,n/a,61.9,59.5,75.9,58.2,37.6
2023,3846220,social-sciences-management,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),469,n/a,59.1,57.5,82,61.8,34.4
2023,3846220,social-sciences-management,294816,Taiwan,National Central University,510,n/a,59.6,54.1,74.1,58.2,42.1
2023,3846221,accounting-finance,294804,Taiwan,National Taiwan University (NTU),71,73,72.9,73.3,71.4,74.4,
2023,3846221,accounting-finance,294814,Taiwan,National Cheng Kung University (NCKU),171,n/a,63.3,65.8,57.9,65.9,
2023,3846221,accounting-finance,294811,Taiwan,National Chengchi University,172,n/a,64.3,59.4,70.3,73.4,
2023,3846221,accounting-finance,294807,Taiwan,National Sun Yat-sen University,266,n/a,59.5,57.5,58.1,61.2,
2023,3846221,accounting-finance,294800,Taiwan,National Tsing Hua University,267,n/a,59.8,66.8,49.2,53.5,
2023,3846221,accounting-finance,294816,Taiwan,National Central University,311,n/a,56.7,54.9,55.4,62.8,
