year,subject
2022,arts-humanities
2022,engineering-technology
2022,life-sciences-medicine
2022,natural-sciences
2022,social-sciences-management
2022,accounting-finance
2022,agriculture-forestry
2022,anatomy-physiology
2022,anthropology
2022,archaeology
2022,architecture-built-environment
2022,art-design
2022,biological-sciences
2022,business-management-studies
2022,chemistry
2022,classics-ancient-history
2022,communication-media-studies
2022,computer-science-information-systems
2022,dentistry
2022,development-studies
2022,earth-marine-sciences
2022,economics-econometrics
2022,education-training
2022,chemical-engineering
2022,civil-structural-engineering
2022,electrical-electronic-engineering
2022,mechanical-aeronautical-manufacturing-engineering
2022,mineral-mining-engineering
2022,engineering-petroleum
2022,english-language-literature
2022,environmental-sciences
2022,geography
2022,geology
2022,geophysics
2022,history
2022,hospitality-leisure-management
2022,law-legal-studies
2022,library-information-management
2022,linguistics
2022,materials-sciences
2022,mathematics
2022,medicine
2022,modern-languages
2022,nursing
2022,performing-arts
2022,pharmacy-pharmacology
2022,philosophy
2022,physics-astronomy
2022,politics
2022,psychology
2022,social-policy-administration
2022,sociology
2022,sports-related-subjects
2022,statistics-operational-research
2022,theology-divinity-religious-studies
2022,veterinary-science
