year,subject,nid
2021,arts-humanities,3518694
2021,engineering-technology,3518640
2021,life-sciences-medicine,3518596
2021,natural-sciences,3518540
2021,social-sciences-management,3518490
2021,accounting-finance,3514733
2021,agriculture-forestry,3514837
2021,anatomy-physiology,3515167
2021,anthropology,3515218
2021,archaeology,3515256
2021,architecture-built-environment,3515310
2021,art-design,3515371
2021,biological-sciences,3515446
2021,business-management-studies,3515511
2021,chemistry,3515593
2021,classics-ancient-history,3515859
2021,communication-media-studies,3515949
2021,computer-science-information-systems,3516175
2021,dentistry,3516221
2021,development-studies,3516273
2021,earth-marine-sciences,3516441
2021,economics-econometrics,3517143
2021,education-training,3517537
2021,engineering-chemical,3517597
2021,engineering-civil-structural,3517839
2021,engineering-electrical-electronic,3517936
2021,engineering-mechanical,3518095
2021,engineering-mineral-mining,3518139
2021,engineering-petroleum,3518442
2021,english-language-literature,3518178
2021,environmental-sciences,3518325
2021,geography,3518454
2021,geology,3518362
2021,geophysics,3518197
2021,history,3518849
2021,hospitality-leisure-management,3519124
2021,law-legal-studies,3519179
2021,library-information-management,3519288
2021,linguistics,3519358
2021,materials-sciences,3519482
2021,mathematics,3519417
2021,medicine,3519472
2021,modern-languages,3519527
2021,nursing,3519578
2021,performing-arts,3519377
2021,pharmacy-pharmacology,3519300
2021,philosophy,3519250
2021,physics-astronomy,3519197
2021,politics,3519150
2021,psychology,3519089
2021,social-policy-administration,3519048
2021,sociology,3518997
2021,sports-related-subjects,3518914
2021,statistics-operational-research,3518856
2021,theology-divinity-religious-studies,3518797
2021,veterinary-science,3518748
